34.497,35.068,35.637,36.201,36.758,37.306,37.842,38.366,38.873,39.363,39.834,40.282,40.708,41.109,41.483,41.829,42.145,42.43,42.684,42.905,43.092,43.244,43.361,43.442,43.487,43.496,43.469,43.406,43.307,43.172,43.002,42.799,42.561,42.292,41.991,41.659,41.299,40.912,40.498,40.061,39.601,39.121,38.621,38.106,37.576,37.033,36.48,35.919,35.353,34.783,34.212,33.642,33.075,32.515,31.962,31.419,30.889,30.373,29.874,29.394,28.934,28.496,28.083,27.696,27.336,27.004,26.703,26.433,26.196,25.992,25.823,25.688,25.589,25.526,25.499,25.508,25.553,25.634,25.751,25.903,26.09,26.311,26.564,26.85,27.166,27.512,27.886,28.287,28.712,29.161,29.632,30.122,30.629,31.152,31.689,32.237,32.794,33.358,33.927,34.497
24.338,24.908,25.477,26.041,26.598,27.146,27.683,28.206,28.713,29.203,29.674,30.123,30.548,30.949,31.323,31.669,31.985,32.271,32.524,32.745,32.932,33.084,33.201,33.282,33.327,33.336,33.309,33.246,33.147,33.012,32.843,32.639,32.402,32.132,31.831,31.499,31.139,30.752,30.338,29.901,29.441,28.961,28.462,27.946,27.416,26.873,26.32,25.76,25.193,24.623,24.052,23.482,22.916,22.355,21.802,21.259,20.729,20.214,19.714,19.234,18.774,18.337,17.923,17.536,17.176,16.844,16.543,16.274,16.036,15.833,15.663,15.528,15.429,15.366,15.339,15.348,15.393,15.474,15.591,15.743,15.93,16.151,16.404,16.69,17.006,17.352,17.726,18.127,18.552,19.001,19.472,19.962,20.469,20.993,21.529,22.077,22.634,23.198,23.767,24.338
21.817,22.388,22.957,23.521,24.078,24.626,25.162,25.685,26.193,26.683,27.153,27.602,28.028,28.429,28.803,29.149,29.465,29.75,30.004,30.225,30.411,30.564,30.681,30.762,30.807,30.816,30.789,30.726,30.627,30.492,30.322,30.119,29.881,29.612,29.31,28.979,28.619,28.232,27.818,27.381,26.921,26.44,25.941,25.426,24.896,24.353,23.8,23.239,22.673,22.103,21.532,20.962,20.395,19.835,19.282,18.739,18.209,17.693,17.194,16.714,16.254,15.816,15.403,15.016,14.655,14.324,14.023,13.753,13.516,13.312,13.143,13.008,12.909,12.846,12.818,12.828,12.873,12.954,13.071,13.223,13.41,13.631,13.884,14.17,14.486,14.832,15.206,15.607,16.032,16.481,16.952,17.442,17.949,18.472,19.009,19.557,20.114,20.678,21.247,21.817
19.404,19.974,20.543,21.107,21.664,22.212,22.748,23.272,23.779,24.269,24.74,25.189,25.614,26.015,26.389,26.735,27.051,27.337,27.59,27.811,27.998,28.15,28.267,28.348,28.393,28.402,28.375,28.312,28.213,28.078,27.909,27.705,27.467,27.198,26.897,26.565,26.205,25.818,25.404,24.967,24.507,24.027,23.528,23.012,22.482,21.939,21.386,20.826,20.259,19.689,19.118,18.548,17.982,17.421,16.868,16.325,15.795,15.279,14.78,14.3,13.84,13.403,12.989,12.602,12.242,11.91,11.609,11.34,11.102,10.899,10.729,10.594,10.495,10.432,10.405,10.414,10.459,10.54,10.657,10.809,10.996,11.217,11.47,11.756,12.072,12.418,12.792,13.193,13.618,14.067,14.538,15.028,15.535,16.059,16.595,17.143,17.7,18.264,18.833,19.404
16.684,17.255,17.823,18.387,18.944,19.492,20.029,20.552,21.06,21.55,22.02,22.469,22.895,23.295,23.669,24.015,24.332,24.617,24.871,25.091,25.278,25.43,25.547,25.629,25.674,25.683,25.656,25.593,25.493,25.359,25.189,24.985,24.748,24.478,24.177,23.846,23.486,23.098,22.685,22.248,21.788,21.307,20.808,20.292,19.762,19.22,18.667,18.106,17.54,16.97,16.399,15.829,15.262,14.701,14.149,13.606,13.076,12.56,12.061,11.581,11.121,10.683,10.27,9.8824,9.5223,9.191,8.8899,8.6202,8.3829,8.1791,8.0095,7.8749,7.7757,7.7124,7.6852,7.6943,7.7396,7.8208,7.9378,8.09,8.2768,8.4974,8.751,9.0366,9.3529,9.6988,10.073,10.473,10.899,11.348,11.818,12.308,12.816,13.339,13.876,14.424,14.981,15.545,16.113,16.684
14.815,15.386,15.954,16.518,17.075,17.623,18.16,18.683,19.19,19.68,20.151,20.6,21.025,21.426,21.8,22.146,22.462,22.748,23.001,23.222,23.409,23.561,23.678,23.759,23.805,23.814,23.786,23.723,23.624,23.489,23.32,23.116,22.879,22.609,22.308,21.977,21.616,21.229,20.816,20.378,19.918,19.438,18.939,18.423,17.893,17.35,16.797,16.237,15.67,15.1,14.529,13.959,13.393,12.832,12.279,11.737,11.206,10.691,10.192,9.7112,9.2513,8.8138,8.4004,8.0129,7.6528,7.3216,7.0205,6.7508,6.5135,6.3097,6.1401,6.0055,5.9063,5.843,5.8158,5.8249,5.8702,5.9514,6.0684,6.2206,6.4074,6.628,6.8816,7.1672,7.4835,7.8294,8.2034,8.604,9.0296,9.4785,9.9489,10.439,10.947,11.47,12.006,12.554,13.111,13.675,14.244,14.815
12.638,13.209,13.777,14.341,14.898,15.446,15.983,16.506,17.014,17.504,17.974,18.423,18.849,19.249,19.623,19.969,20.285,20.571,20.825,21.045,21.232,21.384,21.501,21.582,21.628,21.637,21.61,21.546,21.447,21.312,21.143,20.939,20.702,20.432,20.131,19.8,19.44,19.052,18.639,18.201,17.741,17.261,16.762,16.246,15.716,15.173,14.621,14.06,13.493,12.923,12.352,11.782,11.216,10.655,10.102,9.5596,9.0295,8.5138,8.0147,7.5343,7.0744,6.6369,6.2236,5.8361,5.476,5.1447,4.8436,4.5739,4.3366,4.1328,3.9633,3.8286,3.7294,3.6661,3.639,3.648,3.6933,3.7746,3.8915,4.0437,4.2305,4.4511,4.7047,4.9903,5.3066,5.6525,6.0265,6.4271,6.8527,7.3017,7.7721,8.2621,8.7697,9.2929,9.8295,10.377,10.935,11.498,12.067,12.638
10.978,11.549,12.117,12.681,13.238,13.786,14.323,14.846,15.353,15.843,16.314,16.763,17.188,17.589,17.963,18.309,18.625,18.911,19.164,19.385,19.572,19.724,19.841,19.922,19.968,19.977,19.949,19.886,19.787,19.652,19.483,19.279,19.042,18.772,18.471,18.14,17.779,17.392,16.979,16.541,16.081,15.601,15.102,14.586,14.056,13.513,12.961,12.4,11.833,11.263,10.692,10.122,9.5557,8.9949,8.4421,7.8995,7.3693,6.8537,6.3546,5.8742,5.4143,4.9768,4.5635,4.176,3.8159,3.4846,3.1835,2.9138,2.6765,2.4727,2.3031,2.1685,2.0693,2.006,1.9789,1.9879,2.0332,2.1145,2.2314,2.3836,2.5704,2.791,3.0446,3.3302,3.6465,3.9924,4.3664,4.767,5.1926,5.6416,6.112,6.602,7.1096,7.6328,8.1694,8.7174,9.2745,9.8384,10.407,10.978
9.226,9.7968,10.365,10.929,11.486,12.034,12.571,13.094,13.602,14.092,14.562,15.011,15.437,15.837,16.211,16.557,16.874,17.159,17.413,17.633,17.82,17.972,18.089,18.171,18.216,18.225,18.198,18.134,18.035,17.901,17.731,17.527,17.29,17.02,16.719,16.388,16.028,15.64,15.227,14.789,14.33,13.849,13.35,12.834,12.304,11.762,11.209,10.648,10.082,9.5116,8.9405,8.3705,7.804,7.2432,6.6904,6.1478,5.6177,5.102,4.6029,4.1225,3.6626,3.2251,2.8118,2.4243,2.0642,1.7329,1.4318,1.1621,0.92484,0.72102,0.55145,0.41681,0.31763,0.25433,0.22716,0.23622,0.28148,0.36276,0.47972,0.63191,0.8187,1.0393,1.2929,1.5785,1.8948,2.2407,2.6147,3.0153,3.4409,3.8899,4.3603,4.8503,5.3579,5.8811,6.4177,6.9657,7.5228,8.0867,8.6552,9.226
8.5325,9.1033,9.6719,10.236,10.793,11.341,11.877,12.401,12.908,13.398,13.869,14.318,14.743,15.144,15.518,15.864,16.18,16.466,16.719,16.94,17.127,17.279,17.396,17.477,17.522,17.531,17.504,17.441,17.342,17.207,17.038,16.834,16.596,16.327,16.026,15.694,15.334,14.947,14.533,14.096,13.636,13.156,12.657,12.141,11.611,11.068,10.515,9.9545,9.388,8.8181,8.247,7.677,7.1105,6.5497,5.9969,5.4543,4.9242,4.4085,3.9094,3.429,2.9691,2.5316,2.1183,1.7308,1.3707,1.0394,0.7383,0.46858,0.23134,0.027522,-0.14205,-0.27669,-0.37586,-0.43916,-0.46634,-0.45728,-0.41202,-0.33074,-0.21378,-0.061591,0.1252,0.34584,0.59945,0.885,1.2013,1.5472,1.9212,2.3218,2.7474,3.1964,3.6668,4.1568,4.6644,5.1876,5.7242,6.2722,6.8293,7.3932,7.9617,8.5325
